date,type,fvg_size_pips,rsi_at_entry,atr_at_entry,momentum_ratio,news_bias,LABEL_WIN
2013-10-29 09:00:00,1,0.32,37.19,3.77,2.15,3,1
2013-11-21 19:00:00,0,4.64,39.17,3.91,2.3,2,1
2013-12-12 16:00:00,1,0.63,20.66,4.75,1.06,-3,0
2014-01-02 09:00:00,0,5.63,70.92,7.03,2.13,-2,0
2013-12-23 14:00:00,0,1.47,49.12,3.54,2.36,0,0
2013-12-31 17:00:00,0,1.37,58.74,5.58,1.47,-1,0
2014-01-06 07:00:00,1,5.91,60.73,3.82,1.38,1,0
2014-01-15 18:00:00,1,1.07,44.09,2.98,1.47,1,1
2014-01-21 14:00:00,1,5.0,29.32,2.5,2.65,0,0
2014-01-30 12:00:00,1,1.44,39.0,2.98,1.89,1,0
2014-02-03 14:00:00,0,6.3,55.75,2.45,1.56,1,0
2014-02-25 03:00:00,1,1.48,54.9,3.27,1.09,1,1
2014-02-26 20:00:00,1,0.6,37.02,4.1,1.05,-1,0
2014-02-28 11:00:00,1,0.59,40.15,2.54,2.77,1,1
2014-03-19 10:00:00,1,8.58,29.86,2.76,2.42,0,0
2014-03-18 14:00:00,1,1.02,26.45,3.72,1.43,0,0
2014-03-14 06:00:00,1,0.65,51.31,3.43,1.42,2,1
2014-04-11 16:00:00,1,1.27,51.49,3.12,2.93,-2,1
2014-04-15 04:00:00,1,0.79,41.42,2.78,1.19,-1,0
2014-04-23 13:00:00,0,3.77,56.79,2.14,3.28,1,1
2014-04-28 20:00:00,1,0.74,47.9,2.98,1.15,-1,0
2014-05-07 19:00:00,1,7.36,17.99,3.8,3.36,0,0
2014-05-12 04:00:00,0,4.29,48.2,3.63,1.84,0,0
2014-06-18 13:00:00,1,0.5,55.62,1.78,1.01,0,1
2014-07-03 15:00:00,1,0.01,25.8,2.9,2.33,-1,1
2014-07-21 17:00:00,0,0.94,50.88,2.53,1.36,0,1
2014-08-08 15:00:00,1,3.77,42.94,3.34,1.18,0,0
2014-08-22 17:00:00,0,1.21,38.85,2.12,1.71,0,1
2014-08-27 13:00:00,0,2.5,55.39,1.77,1.54,0,0
2014-09-23 13:00:00,0,2.7,76.61,3.48,5.64,0,1
2014-10-23 14:00:00,1,3.49,29.3,2.31,1.8,-1,0
2014-12-15 22:00:00,1,3.13,21.98,5.79,1.95,0,0
2014-12-16 14:00:00,0,1.98,64.6,5.14,1.58,1,1
2014-12-18 12:00:00,0,0.98,70.38,4.37,1.84,2,1
2014-12-24 15:00:00,0,0.82,39.74,2.03,1.28,1,1
2014-12-31 17:00:00,1,1.26,26.7,3.14,6.97,-1,0
2015-02-13 15:00:00,0,0.92,56.27,2.66,1.35,1,0
2015-02-19 11:00:00,0,2.17,62.41,3.47,3.71,2,1
2015-02-26 11:00:00,0,1.79,78.1,2.39,2.99,-1,1
2015-02-20 17:00:00,0,1.04,45.64,3.49,2.19,0,0
2015-03-02 21:00:00,1,0.17,33.28,3.58,1.4,1,0
2015-03-18 20:00:00,0,1.66,72.25,4.38,1.27,0,0
2015-03-25 11:00:00,1,2.01,54.06,2.38,1.93,1,1
2015-04-08 19:00:00,1,0.96,31.92,2.77,5.8,0,1
2015-04-07 14:00:00,1,0.01,43.61,2.11,1.21,0,0
2015-04-10 11:00:00,0,2.03,63.73,2.25,1.7,0,0
2015-04-16 03:00:00,0,0.59,73.61,2.87,1.33,-1,1
2015-04-20 11:00:00,1,0.85,50.84,2.13,2.38,0,0
2015-05-06 15:00:00,0,2.57,58.08,2.68,2.72,0,0
2015-05-27 16:00:00,0,1.96,37.23,2.25,2.27,0,0
2015-06-01 19:00:00,0,4.58,50.08,3.97,1.82,-1,0
2015-06-08 04:00:00,0,0.28,52.92,3.54,1.1,0,1
2015-06-12 19:00:00,0,0.11,46.27,2.38,1.51,-2,0
2015-06-16 19:00:00,1,0.77,45.43,2.72,1.11,-1,0
2015-06-18 01:00:00,0,0.18,59.88,3.07,2.15,3,0
2015-08-06 16:00:00,0,1.66,64.03,1.75,2.06,1,0
2015-08-07 12:00:00,0,0.27,56.26,2.12,1.71,1,0
2015-08-28 16:00:00,0,0.09,64.63,3.84,1.79,0,0
2015-09-04 15:00:00,0,1.06,33.19,2.16,1.6,1,1
2015-10-28 20:00:00,1,1.98,27.58,4.82,2.01,0,1
2015-10-28 07:00:00,0,11.6,69.05,1.68,3.75,0,0
2015-11-16 12:00:00,0,2.54,59.78,2.93,1.05,0,1
2015-12-01 04:00:00,0,1.04,75.01,3.16,2.09,1,1
2015-12-09 20:00:00,1,0.38,46.39,4.34,1.3,0,0
2015-12-14 10:00:00,1,2.37,36.77,2.62,3.11,0,1
2015-12-22 22:00:00,1,1.34,36.26,2.37,3.06,-1,0
2016-01-07 10:00:00,1,0.51,60.13,3.01,1.51,-1,1
2016-02-02 18:00:00,1,1.28,46.98,2.2,1.25,0,0
2016-02-12 15:00:00,1,1.97,51.57,5.42,1.16,-1,0
2016-02-19 15:00:00,1,5.9,61.92,4.33,1.78,-3,0
2016-02-25 01:00:00,1,1.34,41.43,6.7,1.27,-2,1
2016-02-25 16:00:00,1,3.65,52.75,5.43,1.32,-2,1
2016-02-26 20:00:00,1,0.12,37.98,5.42,1.47,-1,1
2016-03-11 22:00:00,1,4.98,31.95,5.16,3.55,0,0
2016-03-16 21:00:00,0,2.13,81.1,5.25,1.18,0,0
2016-04-12 16:00:00,1,1.77,47.69,3.38,1.02,0,0
2016-04-26 16:00:00,0,2.02,61.11,3.46,1.05,2,0
2016-05-12 16:00:00,0,0.21,62.75,3.6,1.6,-1,0
2016-06-03 15:00:00,0,0.37,85.61,3.5,2.15,3,0
2016-05-27 08:00:00,0,0.16,46.27,3.02,2.97,0,1
2016-06-01 10:00:00,0,1.64,57.27,2.44,1.27,-1,1
2016-06-24 06:00:00,0,5.22,86.88,13.02,1.83,1,0
2016-08-02 07:00:00,1,0.31,49.29,2.36,1.2,0,1
2016-08-08 15:00:00,0,1.63,41.92,2.8,1.23,0,1
2016-08-11 13:00:00,1,1.12,53.32,2.53,1.39,1,1
2016-09-21 15:00:00,0,1.06,76.01,3.64,2.04,1,1
2016-09-29 03:00:00,0,0.21,47.87,2.52,1.44,0,1
2016-10-19 12:00:00,0,4.48,74.96,1.93,3.44,0,0
2016-10-26 17:00:00,1,0.09,39.85,2.37,2.3,1,0
2016-11-04 14:00:00,1,0.42,59.46,3.13,1.63,0,1
2016-11-09 19:00:00,1,1.7,39.02,12.77,2.78,-1,1
2016-12-01 21:00:00,0,0.65,50.21,4.8,1.45,-2,0
2016-12-02 15:00:00,0,3.06,41.51,2.91,1.1,1,0
